time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2004-12-31T07:38:18.670Z,4.513,94.667,30,4.6,mb,9,209.6,,0.71,us,usp000dc98,2014-11-07T01:24:27.806Z,"off the west coast of northern Sumatra",earthquake,,,,6,reviewed,us,us
2004-12-31T07:26:37.170Z,4.321,95.194,46.6,5.2,mwc,54,80.6,,0.89,us,usp000dc97,2016-11-10T00:57:16.862Z,"northern Sumatra, Indonesia",earthquake,,,,,reviewed,us,hrv
2004-12-31T07:01:00.400Z,43.25,2.9,10,2.7,ml,32,83.8,,,us,usp000dc96,2014-11-07T01:24:27.794Z,"France",earthquake,,,,,reviewed,str,str
2004-12-31T06:51:56.120Z,52.227,-167.737,15.5,2.5,ml,5,293.9,,,us,usp000dc95,2019-02-13T02:13:01.849Z,"Fox Islands, Aleutian Islands, Alaska",earthquake,,,,,reviewed,aeic,aeic
2004-12-31T06:50:26.947Z,60.3311,-147.7982,24.2,2.5,ml,,,,0.65,ak,ak004gteke92,2019-02-13T02:12:54.401Z,"Southern Alaska",earthquake,,0.2,,,reviewed,ak,ak
2004-12-31T06:30:05.430Z,35.882,-4.69,81.6,3.4,m,45,243.8,,,us,usp000dc94,2014-11-07T01:24:27.787Z,"Strait of Gibraltar",earthquake,,,,,reviewed,mdd,mdd
2004-12-31T06:26:21.190Z,-37.838,-73.539,30,4,mb,15,178.6,,1.13,us,usp000dc93,2014-11-07T01:24:27.786Z,"Bio-Bio, Chile",earthquake,,0,,2,reviewed,us,us
2004-12-31T06:26:14.200Z,3.239,93.747,28.7,4.8,mb,52,152.9,,1.16,us,usp000dc92,2014-11-07T01:24:27.781Z,"off the west coast of northern Sumatra",earthquake,,,,24,reviewed,us,us
2004-12-31T06:08:11.750Z,7.355,92.502,30,4.8,mb,10,182.9,,0.76,us,usp000dc91,2014-11-07T01:24:27.779Z,"Nicobar Islands, India region",earthquake,,,,9,reviewed,us,us
2004-12-31T05:53:55.940Z,11.083,91.988,27.3,5.1,mwc,124,57.5,,0.82,us,usp000dc90,2016-11-10T00:57:16.354Z,"Andaman Islands, India region",earthquake,,,,,reviewed,us,hrv
2004-12-31T05:53:01.430Z,53.871,-163.866,33,2.5,ml,8,255.4,,,us,usp000dc8z,2019-02-13T02:13:01.455Z,"Unimak Island region, Alaska",earthquake,,,,,reviewed,aeic,aeic
2004-12-31T05:04:12.440Z,37.597,-118.832,6.567,2.84,md,38,71,0.007207,0.04,nc,nc21431140,2017-01-10T01:06:47.860Z,"Long Valley area, California",earthquake,0.22,0.33,0.13,53,reviewed,nc,nc
2004-12-31T05:02:59.300Z,37.04,28.63,34,3.1,md,4,270.8,,,us,usp000dc8y,2014-11-07T01:24:27.765Z,"western Turkey",earthquake,,,,,reviewed,ath,ath
2004-12-31T05:00:46.100Z,37,28.67,20,3.1,md,4,273,,,us,usp000dc8x,2014-11-07T01:24:27.764Z,"western Turkey",earthquake,,,,,reviewed,ath,ath
2004-12-31T04:58:53.200Z,37.07,28.57,18,3.3,md,4,267.5,,,us,usp000dc8w,2014-11-07T01:24:27.763Z,"western Turkey",earthquake,,,,,reviewed,ath,ath
2004-12-31T04:27:02.280Z,51.493,16.065,5,3.1,ml,11,255.8,,0.8,us,usp000dc8v,2014-11-07T01:24:27.760Z,"Poland",earthquake,,,,,reviewed,us,zamg
2004-12-31T04:24:50.310Z,40.348,32.948,17.2,3.3,md,14,47.4,,,us,usp000dc8u,2014-11-07T01:24:27.758Z,"central Turkey",earthquake,,,,,reviewed,isk,isk
